QUERY_ID,RANK,DOC_NAME,SCORE
1,173,www.derecho.unlz.edu.ar.txt,-2.279843142909826
1,174,www.ucine.edu.ar.txt,-2.2826839003396104
1,175,campus.belgrano.ort.edu.ar.txt,-2.2875016864911
1,176,campus.almagro.ort.edu.ar.txt,-2.294063249493398
1,177,www.ecyt.unsam.edu.ar.txt,-2.2978770645232154
1,178,www.utn.edu.ar.txt,-2.303276427873639
1,179,webmail.unla.edu.ar.txt,-2.307374301803238
1,180,www.cea.unc.edu.ar.txt,-2.3116489369491813
1,181,wichi.rect.mdp.edu.ar.txt,-2.315730161869549
1,182,eco.mdp.edu.ar.txt,-2.3214273186167773
1,183,www2.unam.edu.ar.txt,-2.326767916044733
1,184,www.fm.fcm.unr.edu.ar.txt,-2.3308369045681245
1,185,sistemas.unlpam.edu.ar.txt,-2.3324771011632204
1,186,enfermeria.fhu.unse.edu.ar.txt,-2.3388589421255377
1,187,dgp.unsam.edu.ar.txt,-2.3410631792458525
1,188,www0.unsl.edu.ar.txt,-2.3478125099076115
1,189,virtual.unne.edu.ar.txt,-2.3485541080666597
1,190,www.unlz.edu.ar.txt,-2.3572216561224306
1,191,www.polocentroeste.edu.ar.txt,-2.362389873905886
1,192,www.qgeneral.unlu.edu.ar.txt,-2.3676656734555213
1,193,www.uns.edu.ar.txt,-2.3691581140916598
1,194,www.ucel.edu.ar.txt,-2.3721806966840626
1,195,int02.txt,-2.3723389896859155
1,196,www.politicaygobierno.unsam.edu.ar.txt,-2.373782935355469
1,197,organizaciones.unrc.edu.ar.txt,-2.3798769392688137
1,198,congresos.unlp.edu.ar.txt,-2.3876426309301015
1,199,www.rueda.edu.ar.txt,-2.388147876157473
1,200,odn.unne.edu.ar.txt,-2.407942847177318
1,201,pagos.unc.edu.ar.txt,-2.4170591226872276
1,202,www.uaisoft.uai.edu.ar.txt,-2.422985490977626
1,203,www.udesa.edu.ar.txt,-2.4292437471835
1,204,kolla.unnoba.edu.ar.txt,-2.445529057478277
1,205,www.idia.unsj.edu.ar.txt,-2.4456890808309057
1,206,webmail.uncu.edu.ar.txt,-2.456127577910543
1,207,www.observatur.edu.ar.txt,-2.457854242686394
1,208,www.fca.proed.unc.edu.ar.txt,-2.4618400942205936
1,209,saebu.unsl.edu.ar.txt,-2.4799642755291833
1,210,www.siat.unrc.edu.ar.txt,-2.4836725865595515
1,211,museocontacto.unsl.edu.ar.txt,-2.498617399360521
1,212,www.so.unlu.edu.ar.txt,-2.507103161751534
1,213,eeyn.unsam.edu.ar.txt,-2.5119110575788848
